country,memberships
http://www.wikidata.org/entity/Q686,"United Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organisation internationale de la Francophonie | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | Multilateral Investment Guarantee Agency"
http://www.wikidata.org/entity/Q691,"United Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | World Meteorological Organization | Asia-Pacific Economic Cooperation | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | United Nations–African Union Hybrid Operation in Darfur | Alliance of Small Island States | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | ASEAN Regional Forum"
http://www.wikidata.org/entity/Q32,European Union | United Nations | NATO | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | European Economic Area | Benelux | Universal Postal Union | Organization for Economic Cooperation and Development | European Space Agency | Visa Waiver Program | Organization for Security and Co-operation in Europe | Organisation internationale de la Francophonie | European Air Transport Command | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | African Development Bank | International Telecommunication Union | World Customs Organization | International Finance Corporation | Eurocontrol | Australia Group | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | European Payments Union | Nuclear Suppliers Group | Belgium–Luxembourg Economic Union | Treaty on Open Skies | Schengen Area | Movement Coordination Centre Europe | Group on Earth Observations
http://www.wikidata.org/entity/Q33,European Union | United Nations | NATO | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | Universal Postal Union | Organization for Economic Cooperation and Development | European Space Agency | Visa Waiver Program | Organization for Security and Co-operation in Europe | Nordic Council | European Southern Observatory | European Free Trade Association | World Meteorological Organization | Antarctic Treaty System | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | African Development Bank | International Telecommunication Union | World Customs Organization | Partnership for Peace | International Finance Corporation | Eurocontrol | Arctic Council | Australia Group | Council of the Baltic Sea States | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Nuclear Suppliers Group | Strategic Airlift Capability | Treaty on Open Skies | Schengen Area | Nordic Battle Group | Movement Coordination Centre Europe | Barents Euro-Arctic Council | Group on Earth Observations | Q131720477
http://www.wikidata.org/entity/Q695,"United Nations | UNESCO | World Health Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | Alliance of Small Island States | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | Multilateral Investment Guarantee Agency"
http://www.wikidata.org/entity/Q697,"United Nations | Commonwealth of Nations | UNESCO | World Health Organization | Interpol | Universal Postal Union | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | Organisation for the Prohibition of Chemical Weapons"
http://www.wikidata.org/entity/Q702,"United Nations | UNESCO | World Health Organization | Interpol | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency"
http://www.wikidata.org/entity/Q709,"United Nations | UNESCO | World Health Organization | Interpol | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons"
http://www.wikidata.org/entity/Q710,"United Nations | Commonwealth of Nations | UNESCO | World Health Organization | Interpol | Universal Postal Union | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons"
http://www.wikidata.org/entity/Q711,United Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organization for Security and Co-operation in Europe | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | COMECON | International Telecommunication Union | United Nations–African Union Hybrid Operation in Darfur | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Group on Earth Observations | ASEAN Regional Forum
