country,continents,governments,languages,currencies,border_count
http://www.wikidata.org/entity/Q869,Asia,constitutional monarchy | parliamentary monarchy,Thai,baht,4
http://www.wikidata.org/entity/Q874,Asia,republic | presidential system,Turkmen,Turkmenistan new manat,4
http://www.wikidata.org/entity/Q878,Asia,constitutional monarchy | absolute monarchy | federal monarchy,Arabic,United Arab Emirates dirham,3
http://www.wikidata.org/entity/Q881,Asia,republic | one-party state | unitary state,Vietnamese,Vietnamese đồng,3
http://www.wikidata.org/entity/Q884,Asia,republic | presidential system,Korean | Korean Sign Language,won | Korean mun,3
http://www.wikidata.org/entity/Q33,Europe,parliamentary republic,Swedish | Finnish,euro,3
http://www.wikidata.org/entity/Q34,Europe,constitutional monarchy | representative democracy,Swedish,Swedish krona,3
http://www.wikidata.org/entity/Q36,Europe,semi-presidential system | parliamentary system | unitary state,Polish,złoty,7
http://www.wikidata.org/entity/Q37,Europe,semi-presidential system | parliamentary republic,Lithuanian,euro,5
http://www.wikidata.org/entity/Q38,Europe,parliamentary republic,Italian,euro,7
http://www.wikidata.org/entity/Q39,Europe,federal republic | directorial system,French | German | Italian | Romansh,Swiss franc,6
http://www.wikidata.org/entity/Q40,Europe,republic | semi-presidential system | federal parliamentary republic,German | Austrian Sign Language,euro,8
http://www.wikidata.org/entity/Q41,Europe,parliamentary republic,Greek | Demotic Greek | Modern Greek,euro,4
http://www.wikidata.org/entity/Q43,Asia,presidential system | unitary state,Turkish,Turkish lira,10
http://www.wikidata.org/entity/Q45,Europe,republic,Portuguese | Mirandese,euro,1
http://www.wikidata.org/entity/Q77,South America,republic | presidential system | participatory democracy,,Uruguayan peso,2
http://www.wikidata.org/entity/Q79,Africa,republic,Arabic,Egyptian pound,6
http://www.wikidata.org/entity/Q96,North America,empire | presidential system | federal republic | constitutional republic | democratic republic,Spanish | Nahuatl | Yucatec Maya,peso,3
http://www.wikidata.org/entity/Q16,North America,constitutional monarchy | federation | parliamentary system,French | English,Canadian dollar,2
http://www.wikidata.org/entity/Q17,Asia,constitutional monarchy,Japanese,yen,6
http://www.wikidata.org/entity/Q20,Europe,constitutional monarchy | representative democracy,Norwegian | Nynorsk | Bokmål | Sámi,Norwegian krone,4
http://www.wikidata.org/entity/Q27,Europe,republic | unitary state,English | Irish,euro,2
http://www.wikidata.org/entity/Q28,Europe,parliamentary republic,Hungarian,forint,7
http://www.wikidata.org/entity/Q29,Europe,parliamentary monarchy,Spanish,euro,5
http://www.wikidata.org/entity/Q30,North America,constitutional republic | democratic republic,Spanish | Hawaiian,United States dollar,2
http://www.wikidata.org/entity/Q31,Europe,federation,French | German | Dutch,euro,4
http://www.wikidata.org/entity/Q32,Europe,constitutional monarchy,French | German | Luxembourgish,euro,3
http://www.wikidata.org/entity/Q114,Africa,,English | Swahili,Kenyan shilling,8
http://www.wikidata.org/entity/Q115,Africa,federal republic,Amharic,bir,8
http://www.wikidata.org/entity/Q117,Africa,democracy,English,Ghana cedi,3
